time,susceptible,exposed,infectious,quarantined,recovered,dead,vaccinated
  0.00,5.7503e+06,4934,4934,2467,6.591e+05,0,4.2812e+06
  1.00,5.7434e+06,6105.6,4683.1,3430.3,6.5937e+05,0.69116,4.2864e+06
  2.00,5.7366e+06,7027.6,4654.7,4269.7,6.5973e+05,1.5913,4.2916e+06
  3.00,5.7298e+06,7815.5,4768,5041.5,6.6017e+05,2.6785,4.2968e+06
  4.00,5.7229e+06,8539.2,4974.9,5780.9,6.6068e+05,3.9415,4.302e+06
  5.00,5.7159e+06,9241.6,5247.4,6510.6,6.6127e+05,5.3755,4.3071e+06
  6.00,5.7088e+06,9949.6,5569.3,7245.7,6.6193e+05,6.9802,4.3123e+06
  7.00,5.7016e+06,10680,5931.6,7996.8,6.6266e+05,8.7581,4.3174e+06
  8.00,5.6943e+06,11445,6329.6,8771.8,6.6347e+05,10.714,4.3224e+06
  9.00,5.6868e+06,12253,6761.2,9577.1,6.6436e+05,12.854,4.3274e+06
 10.00,5.6792e+06,13109,7226.1,10418,6.6533e+05,15.186,4.3324e+06
 11.00,5.6714e+06,14019,7724.6,11300,6.6638e+05,17.719,4.3373e+06
 12.00,5.6634e+06,14988,8258.2,12227,6.6753e+05,20.463,4.3422e+06
 13.00,5.6552e+06,16021,8828.4,13204,6.6877e+05,23.429,4.347e+06
 14.00,5.6469e+06,17121,9437.4,14236,6.7011e+05,26.629,4.3518e+06
 15.00,5.6383e+06,18293,10087,15328,6.7155e+05,30.077,4.3565e+06
 16.00,5.6294e+06,19543,10780,16484,6.7311e+05,33.787,4.3612e+06
 17.00,5.6203e+06,20873,11520,17709,6.7479e+05,37.775,4.3658e+06
 18.00,5.611e+06,22291,12308,19010,6.7659e+05,42.057,4.3703e+06
 19.00,5.6013e+06,23800,13148,20390,6.7853e+05,46.652,4.3747e+06
 20.00,5.5914e+06,25407,14043,21856,6.806e+05,51.579,4.3791e+06
 21.00,5.5811e+06,27117,14996,23415,6.8283e+05,56.859,4.3834e+06
 22.00,5.5705e+06,28937,16011,25072,6.8522e+05,62.514,4.3875e+06
 23.00,5.5596e+06,30872,17092,26834,6.8778e+05,68.567,4.3916e+06
 24.00,5.5482e+06,32929,18241,28707,6.9052e+05,75.045,4.3956e+06
 25.00,5.5365e+06,35114,19465,30700,6.9345e+05,81.973,4.3995e+06
 26.00,5.5243e+06,37436,20766,32819,6.9658e+05,89.381,4.4033e+06
 27.00,5.5116e+06,39902,22149,35073,6.9994e+05,97.299,4.407e+06
 28.00,5.4985e+06,42519,23618,37470,7.0352e+05,105.76,4.4105e+06
 29.00,5.4848e+06,45295,25179,40018,7.0736e+05,114.8,4.4139e+06
 30.00,5.4706e+06,48238,26836,42728,7.1145e+05,124.45,4.4172e+06
 31.00,5.4559e+06,51357,28595,45607,7.1582e+05,134.75,4.4203e+06
 32.00,5.4405e+06,54660,30461,48667,7.2049e+05,145.74,4.4232e+06
 33.00,5.4245e+06,58156,32439,51917,7.2547e+05,157.48,4.426e+06
 34.00,5.4078e+06,61855,34535,55368,7.3078e+05,169.99,4.4286e+06
