time,susceptible,exposed,infectious,quarantined,recovered,dead,vaccinated
  0.00,5.1486e+06,4934,4934,2467,6.591e+05,0,4.8829e+06
  1.00,5.1425e+06,5977.4,4672,3429.3,6.5937e+05,0.6911,4.8875e+06
  2.00,5.1365e+06,6788.3,4616.3,4262.8,6.5973e+05,1.5904,4.892e+06
  3.00,5.1305e+06,7469.4,4691.3,5020.9,6.6017e+05,2.6746,4.8965e+06
  4.00,5.1244e+06,8083.3,4851.6,5737.3,6.6068e+05,3.9303,4.9011e+06
  5.00,5.1183e+06,8668.4,5070.1,6433.6,6.6126e+05,5.3505,4.9055e+06
  6.00,5.1122e+06,9248.5,5330.9,7123.9,6.6191e+05,6.9322,4.91e+06
  7.00,5.1059e+06,9838.7,5624.7,7818.3,6.6263e+05,8.6753,4.9144e+06
  8.00,5.0995e+06,10449,5946.5,8523.9,6.6341e+05,10.582,4.9189e+06
  9.00,5.0931e+06,11085,6293.5,9246.3,6.6427e+05,12.654,4.9232e+06
 10.00,5.0865e+06,11754,6664.5,9989.9,6.652e+05,14.898,4.9275e+06
 11.00,5.0798e+06,12457,7059.4,10759,6.6621e+05,17.318,4.9318e+06
 12.00,5.073e+06,13198,7478.4,11556,6.673e+05,19.921,4.9361e+06
 13.00,5.0661e+06,13981,7922.4,12386,6.6846e+05,22.714,4.9403e+06
 14.00,5.059e+06,14807,8392.4,13252,6.6971e+05,25.704,4.9444e+06
 15.00,5.0517e+06,15679,8889.5,14156,6.7105e+05,28.901,4.9485e+06
 16.00,5.0444e+06,16601,9415,15103,6.7248e+05,32.314,4.9526e+06
 17.00,5.0368e+06,17573,9970.5,16094,6.7401e+05,35.952,4.9565e+06
 18.00,5.029e+06,18600,10557,17135,6.7564e+05,39.828,4.9605e+06
 19.00,5.0211e+06,19684,11177,18228,6.7737e+05,43.953,4.9643e+06
 20.00,5.013e+06,20827,11832,19376,6.7922e+05,48.339,4.9681e+06
 21.00,5.0047e+06,22034,12523,20584,6.8118e+05,53,4.9719e+06
 22.00,4.9961e+06,23307,13253,21855,6.8327e+05,57.95,4.9755e+06
 23.00,4.9873e+06,24648,14023,23193,6.8549e+05,63.204,4.9791e+06
 24.00,4.9783e+06,26063,14835,24602,6.8784e+05,68.778,4.9826e+06
 25.00,4.969e+06,27553,15692,26086,6.9034e+05,74.691,4.9861e+06
 26.00,4.9595e+06,29123,16595,27649,6.9299e+05,80.958,4.9894e+06
 27.00,4.9496e+06,30777,17547,29296,6.958e+05,87.6,4.9926e+06
 28.00,4.9395e+06,32517,18551,31031,6.9877e+05,94.636,4.9958e+06
 29.00,4.9291e+06,34349,19608,32860,7.0193e+05,102.09,4.9988e+06
 30.00,4.9183e+06,36276,20721,34786,7.0527e+05,109.98,5.0017e+06
 31.00,4.9072e+06,38302,21893,36815,7.0881e+05,118.33,5.0045e+06
 32.00,4.8957e+06,40432,23126,38953,7.1256e+05,127.17,5.0072e+06
 33.00,4.8838e+06,42670,24423,41204,7.1652e+05,136.52,5.0098e+06
 34.00,4.8716e+06,45019,25787,43574,7.2071e+05,146.4,5.0123e+06
 35.00,4.8589e+06,47485,27220,46070,7.2515e+05,156.86,5.0146e+06
 36.00,4.8458e+06,50073,28726,48696,7.2984e+05,167.91,5.0167e+06
 37.00,4.8323e+06,52786,30308,51459,7.348e+05,179.6,5.0187e+06
 38.00,4.8182e+06,55629,31968,54366,7.4005e+05,191.94,5.0205e+06
 39.00,4.8037e+06,58606,33710,57422,7.4559e+05,204.98,5.0222e+06
 40.00,4.7887e+06,61723,35536,60634,7.5144e+05,218.75,5.0237e+06
 41.00,4.7731e+06,64983,37450,64010,7.5762e+05,233.29,5.025e+06
 42.00,4.7569e+06,68391,39454,67555,7.6414e+05,248.63,5.0262e+06
 43.00,4.7402e+06,71951,41552,71277,7.7102e+05,264.83,5.0271e+06
 44.00,4.7229e+06,75667,43746,75182,7.7829e+05,281.91,5.0278e+06
 45.00,4.7049e+06,79542,46040,79279,7.8595e+05,299.93,5.0283e+06
 46.00,4.6863e+06,83581,48436,83573,7.9403e+05,318.92,5.0286e+06
 47.00,4.667e+06,87786,50937,88072,8.0255e+05,338.94,5.0286e+06
 48.00,4.647e+06,92161,53546,92783,8.1153e+05,360.04,5.0284e+06
 49.00,4.6263e+06,96708,56265,97714,8.2099e+05,382.26,5.0279e+06
 50.00,4.6048e+06,1.0143e+05,59096,1.0287e+05,8.3095e+05,405.66,5.0271e+06
 51.00,4.5826e+06,1.0633e+05,62041,1.0826e+05,8.4143e+05,430.28,5.0261e+06
 52.00,4.5595e+06,1.114e+05,65102,1.1389e+05,8.5246e+05,456.2,5.0248e+06
 53.00,4.5357e+06,1.1665e+05,68281,1.1977e+05,8.6407e+05,483.45,5.0232e+06
 54.00,4.511e+06,1.2208e+05,71578,1.259e+05,8.7627e+05,512.11,5.0212e+06
 55.00,4.4855e+06,1.2768e+05,74994,1.3228e+05,8.891e+05,542.22,5.019e+06
 56.00,4.4591e+06,1.3345e+05,78530,1.3893e+05,9.0258e+05,573.86,5.0164e+06
 57.00,4.4318e+06,1.394e+05,82185,1.4585e+05,9.1673e+05,607.08,5.0134e+06
 58.00,4.4036e+06,1.4551e+05,85959,1.5304e+05,9.3158e+05,641.94,5.0102e+06
 59.00,4.3745e+06,1.5179e+05,89850,1.6051e+05,9.4716e+05,678.52,5.0065e+06
 60.00,4.3444e+06,1.5822e+05,93857,1.6825e+05,9.635e+05,716.87,5.0025e+06
 61.00,4.3134e+06,1.648e+05,97977,1.7628e+05,9.8063e+05,757.06,4.9981e+06
 62.00,4.2814e+06,1.7151e+05,1.0221e+05,1.8459e+05,9.9857e+05,799.16,4.9932e+06
 63.00,4.2485e+06,1.7836e+05,1.0654e+05,1.9318e+05,1.0173e+06,843.22,4.988e+06
 64.00,4.2147e+06,1.8533e+05,1.1098e+05,2.0206e+05,1.037e+06,889.33,4.9824e+06
 65.00,4.1798e+06,1.924e+05,1.1551e+05,2.1121e+05,1.0575e+06,937.54,4.9764e+06
 66.00,4.144e+06,1.9956e+05,1.2014e+05,2.2064e+05,1.079e+06,987.92,4.9699e+06
 67.00,4.1073e+06,2.068e+05,1.2484e+05,2.3035e+05,1.1014e+06,1040.5,4.963e+06
 68.00,4.0696e+06,2.141e+05,1.2962e+05,2.4031e+05,1.1248e+06,1095.4,4.9556e+06
 69.00,4.031e+06,2.2145e+05,1.3446e+05,2.5054e+05,1.1493e+06,1152.7,4.9478e+06
 70.00,3.9915e+06,2.2881e+05,1.3936e+05,2.6101e+05,1.1747e+06,1212.4,4.9396e+06
 71.00,3.9511e+06,2.3618e+05,1.443e+05,2.7172e+05,1.2012e+06,1274.5,4.9309e+06
 72.00,3.9098e+06,2.4352e+05,1.4928e+05,2.8265e+05,1.2288e+06,1339.2,4.9217e+06
 73.00,3.8677e+06,2.5082e+05,1.5427e+05,2.938e+05,1.2574e+06,1406.4,4.9121e+06
 74.00,3.8248e+06,2.5806e+05,1.5927e+05,3.0513e+05,1.2872e+06,1476.3,4.9021e+06
 75.00,3.7812e+06,2.652e+05,1.6427e+05,3.1664e+05,1.3182e+06,1548.8,4.8916e+06
 76.00,3.7368e+06,2.7222e+05,1.6924e+05,3.283e+05,1.3502e+06,1624.1,4.8806e+06
 77.00,3.6917e+06,2.7909e+05,1.7416e+05,3.4009e+05,1.3835e+06,1702.1,4.8692e+06
 78.00,3.6461e+06,2.8579e+05,1.7904e+05,3.5199e+05,1.4179e+06,1782.8,4.8574e+06
 79.00,3.5998e+06,2.923e+05,1.8384e+05,3.6397e+05,1.4535e+06,1866.3,4.8451e+06
 80.00,3.553e+06,2.9857e+05,1.8855e+05,3.76e+05,1.4903e+06,1952.7,4.8325e+06
 81.00,3.5058e+06,3.046e+05,1.9315e+05,3.8805e+05,1.5283e+06,2041.8,4.8194e+06
 82.00,3.4582e+06,3.1034e+05,1.9763e+05,4.001e+05,1.5675e+06,2133.8,4.8059e+06
 83.00,3.4102e+06,3.1578e+05,2.0197e+05,4.121e+05,1.608e+06,2228.5,4.7921e+06
 84.00,3.362e+06,3.2089e+05,2.0614e+05,4.2403e+05,1.6496e+06,2326.1,4.7779e+06
 85.00,3.3136e+06,3.2564e+05,2.1014e+05,4.3584e+05,1.6923e+06,2426.4,4.7633e+06
 86.00,3.265e+06,3.3002e+05,2.1394e+05,4.4751e+05,1.7363e+06,2529.4,4.7484e+06
 87.00,3.2164e+06,3.3401e+05,2.1752e+05,4.59e+05,1.7814e+06,2635.2,4.7333e+06
 88.00,3.1678e+06,3.3758e+05,2.2089e+05,4.7026e+05,1.8276e+06,2743.6,4.7178e+06
 89.00,3.1193e+06,3.4072e+05,2.24e+05,4.8126e+05,1.8749e+06,2854.6,4.7021e+06
 90.00,3.0709e+06,3.4342e+05,2.2687e+05,4.9196e+05,1.9234e+06,2968.2,4.6862e+06
 91.00,3.0227e+06,3.4566e+05,2.2946e+05,5.0233e+05,1.9728e+06,3084.2,4.67e+06
 92.00,2.9749e+06,3.4744e+05,2.3177e+05,5.1233e+05,2.0233e+06,3202.6,4.6536e+06
 93.00,2.9274e+06,3.4875e+05,2.3379e+05,5.2192e+05,2.0748e+06,3323.3,4.6371e+06
