time,susceptible,exposed,infectious,quarantined,recovered,dead,vaccinated
  0.00,5.1486e+06,4934,4934,2467,6.591e+05,0,4.8829e+06
  1.00,5.1425e+06,5692.7,4647.5,3427.2,6.5937e+05,0.69097,4.8878e+06
  2.00,5.1365e+06,6260.1,4531.3,4247.6,6.5973e+05,1.5885,4.8926e+06
  3.00,5.1305e+06,6712.8,4522.4,4975.6,6.6016e+05,2.666,4.8974e+06
  4.00,5.1246e+06,7098.1,4581.8,5641.5,6.6067e+05,3.9057,4.9023e+06
  5.00,5.1186e+06,7445.5,4685.6,6264.9,6.6123e+05,5.2954,4.9071e+06
  6.00,5.1126e+06,7773,4819,6859.1,6.6186e+05,6.827,4.9119e+06
  7.00,5.1065e+06,8092.1,4973.1,7432.9,6.6255e+05,8.4948,4.9167e+06
  8.00,5.1004e+06,8409.7,5142.4,7992.8,6.6329e+05,10.295,4.9215e+06
  9.00,5.0942e+06,8730.5,5323.4,8543.5,6.6409e+05,12.224,4.9263e+06
 10.00,5.088e+06,9057.1,5514.3,9088.3,6.6494e+05,14.281,4.9311e+06
 11.00,5.0817e+06,9391.5,5713.9,9630.3,6.6585e+05,16.465,4.9358e+06
 12.00,5.0754e+06,9735,5921.5,10172,6.6681e+05,18.775,4.9406e+06
 13.00,5.069e+06,10088,6136.8,10715,6.6782e+05,21.212,4.9453e+06
 14.00,5.0626e+06,10452,6359.6,11261,6.6889e+05,23.776,4.95e+06
 15.00,5.056e+06,10828,6590,11812,6.7001e+05,26.467,4.9548e+06
 16.00,5.0494e+06,11214,6828,12369,6.7119e+05,29.288,4.9595e+06
 17.00,5.0428e+06,11613,7073.8,12934,6.7243e+05,32.24,4.9642e+06
 18.00,5.0361e+06,12024,7327.4,13508,6.7372e+05,35.325,4.9688e+06
 19.00,5.0292e+06,12447,7589,14092,6.7506e+05,38.545,4.9735e+06
 20.00,5.0224e+06,12883,7858.8,14686,6.7647e+05,41.902,4.9781e+06
 21.00,5.0154e+06,13333,8137.1,15293,6.7794e+05,45.399,4.9828e+06
 22.00,5.0083e+06,13796,8423.9,15913,6.7947e+05,49.04,4.9874e+06
 23.00,5.0012e+06,14272,8719.5,16547,6.8106e+05,52.827,4.992e+06
 24.00,4.994e+06,14763,9024.1,17196,6.8271e+05,56.763,4.9966e+06
 25.00,4.9867e+06,15268,9337.8,17860,6.8443e+05,60.852,5.0012e+06
 26.00,4.9793e+06,15788,9660.9,18541,6.8622e+05,65.099,5.0058e+06
 27.00,4.9718e+06,16323,9993.5,19240,6.8807e+05,69.506,5.0103e+06
 28.00,4.9642e+06,16872,10336,19956,6.9e+05,74.079,5.0148e+06
 29.00,4.9565e+06,17438,10688,20692,6.92e+05,78.821,5.0194e+06
 30.00,4.9487e+06,18019,11051,21447,6.9407e+05,83.737,5.0239e+06
 31.00,4.9408e+06,18616,11423,22222,6.9622e+05,88.831,5.0283e+06
 32.00,4.9327e+06,19229,11807,23018,6.9844e+05,94.108,5.0328e+06
 33.00,4.9246e+06,19859,12201,23836,7.0075e+05,99.574,5.0373e+06
 34.00,4.9164e+06,20505,12606,24676,7.0314e+05,105.23,5.0417e+06
 35.00,4.908e+06,21169,13022,25540,7.0561e+05,111.09,5.0461e+06
 36.00,4.8995e+06,21849,13449,26426,7.0817e+05,117.15,5.0505e+06
 37.00,4.8909e+06,22547,13887,27337,7.1082e+05,123.43,5.0549e+06
 38.00,4.8822e+06,23263,14338,28272,7.1356e+05,129.91,5.0592e+06
 39.00,4.8733e+06,23996,14799,29233,7.164e+05,136.62,5.0636e+06
 40.00,4.8643e+06,24748,15273,30220,7.1934e+05,143.56,5.0679e+06
 41.00,4.8552e+06,25517,15759,31233,7.2237e+05,150.73,5.0722e+06
 42.00,4.8459e+06,26305,16257,32272,7.255e+05,158.13,5.0765e+06
 43.00,4.8365e+06,27111,16767,33339,7.2874e+05,165.79,5.0807e+06
 44.00,4.827e+06,27936,17289,34434,7.3209e+05,173.7,5.0849e+06
 45.00,4.8173e+06,28779,17824,35558,7.3555e+05,181.86,5.0892e+06
