time,susceptible,exposed,infectious,quarantined,recovered,dead,vaccinated
  0.00,5.1486e+06,4934,4934,2467,6.591e+05,0,4.8829e+06
  1.00,5.1425e+06,5834.9,4659.8,3428.2,6.5937e+05,0.69104,4.8876e+06
  2.00,5.1365e+06,6523.3,4573.8,4255.2,6.5973e+05,1.5895,4.8923e+06
  3.00,5.1305e+06,7088.4,4606.5,4998.2,6.6017e+05,2.6703,4.897e+06
  4.00,5.1245e+06,7585,4715.7,5689.2,6.6067e+05,3.918,4.9017e+06
  5.00,5.1185e+06,8046.9,4875.8,6348.7,6.6125e+05,5.3228,4.9063e+06
  6.00,5.1124e+06,8494.8,5071.3,6990.3,6.6189e+05,6.8793,4.911e+06
  7.00,5.1062e+06,8941.8,5293,7623.4,6.6259e+05,8.5843,4.9156e+06
  8.00,5.1e+06,9396.1,5535.3,8254.5,6.6335e+05,10.437,4.9202e+06
  9.00,5.0937e+06,9863.2,5795.2,8888.5,6.6418e+05,12.437,4.9248e+06
 10.00,5.0873e+06,10347,6071,9529.4,6.6507e+05,14.585,4.9294e+06
 11.00,5.0808e+06,10849,6361.7,10180,6.6603e+05,16.885,4.9339e+06
 12.00,5.0742e+06,11372,6667.3,10844,6.6705e+05,19.337,4.9384e+06
 13.00,5.0676e+06,11918,6987.6,11523,6.6814e+05,21.946,4.9429e+06
 14.00,5.0608e+06,12487,7322.9,12220,6.6929e+05,24.716,4.9474e+06
 15.00,5.054e+06,13081,7673.7,12936,6.7052e+05,27.65,4.9519e+06
 16.00,5.047e+06,13702,8040.5,13674,6.7182e+05,30.754,4.9563e+06
 17.00,5.0399e+06,14349,8423.9,14436,6.7319e+05,34.033,4.9607e+06
 18.00,5.0327e+06,15025,8824.3,15223,6.7464e+05,37.493,4.965e+06
 19.00,5.0254e+06,15730,9242.6,16038,6.7617e+05,41.14,4.9694e+06
 20.00,5.0179e+06,16466,9679.3,16883,6.7779e+05,44.98,4.9737e+06
 21.00,5.0103e+06,17233,10135,17759,6.7948e+05,49.021,4.9779e+06
 22.00,5.0026e+06,18033,10611,18669,6.8127e+05,53.27,4.9821e+06
 23.00,4.9947e+06,18868,11107,19614,6.8315e+05,57.736,4.9863e+06
