time,susceptible,exposed,infectious,quarantined,recovered,dead,vaccinated
  0.00,3.6097e+06,4934,4934,2467,6.591e+05,0,6.4218e+06
  1.00,3.6057e+06,5837.3,4659.9,3428.3,6.5937e+05,0.69104,6.4244e+06
  2.00,3.6018e+06,6528.4,4574.5,4255.3,6.5973e+05,1.5895,6.427e+06
  3.00,3.5979e+06,7096.6,4608.2,4998.6,6.6017e+05,2.6704,6.4296e+06
  4.00,3.5939e+06,7596.9,4718.6,5690.1,6.6067e+05,3.9182,6.4322e+06
  5.00,3.59e+06,8063.1,4880.3,6350.5,6.6125e+05,5.3234,6.4348e+06
  6.00,3.5859e+06,8516.1,5077.8,6993.3,6.6189e+05,6.8804,6.4374e+06
  7.00,3.5819e+06,8969.1,5301.8,7628,6.6259e+05,8.5863,6.4399e+06
  8.00,3.5778e+06,9430.4,5547.1,8261.2,6.6335e+05,10.44,6.4424e+06
  9.00,3.5736e+06,9905.6,5810.4,8898,6.6418e+05,12.442,6.4448e+06
 10.00,3.5694e+06,10398,6090.2,9542.3,6.6507e+05,14.593,6.4472e+06
 11.00,3.5651e+06,10911,6385.6,10197,6.6603e+05,16.896,6.4495e+06
 12.00,3.5608e+06,11447,6696.6,10866,6.6705e+05,19.353,6.4518e+06
 13.00,3.5564e+06,12006,7023.2,11551,6.6814e+05,21.968,6.454e+06
 14.00,3.5519e+06,12591,7365.7,12255,6.693e+05,24.745,6.4562e+06
 15.00,3.5473e+06,13203,7724.7,12980,6.7053e+05,27.688,6.4583e+06
 16.00,3.5427e+06,13843,8100.8,13727,6.7184e+05,30.804,6.4603e+06
 17.00,3.538e+06,14513,8494.6,14500,6.7322e+05,34.096,6.4623e+06
 18.00,3.5332e+06,15213,8906.9,15301,6.7468e+05,37.573,6.4642e+06
 19.00,3.5283e+06,15946,9338.4,16131,6.7622e+05,41.239,6.466e+06
 20.00,3.5233e+06,16712,9790,16993,6.7784e+05,45.103,6.4678e+06
 21.00,3.5182e+06,17513,10262,17888,6.7955e+05,49.172,6.4695e+06
 22.00,3.513e+06,18351,10757,18820,6.8135e+05,53.454,6.4711e+06
