time,susceptible,exposed,infectious,quarantined,recovered,dead,vaccinated
  0.00,5.7503e+06,4934,4934,2467,6.591e+05,0,4.2812e+06
  1.00,5.7434e+06,6230.9,4693.8,3431.3,6.5937e+05,0.69122,4.2863e+06
  2.00,5.7366e+06,7263,4692.3,4276.4,6.5973e+05,1.5921,4.2913e+06
  3.00,5.7297e+06,8158.5,4843.4,5061.6,6.6017e+05,2.6823,4.2964e+06
  4.00,5.7228e+06,8995,5097,5823.7,6.6069e+05,3.9524,4.3014e+06
  5.00,5.7158e+06,9820.3,5424.2,6586.7,6.6128e+05,5.4001,4.3064e+06
  6.00,5.7086e+06,10664,5808.9,7366.7,6.6195e+05,7.0275,4.3114e+06
  7.00,5.7013e+06,11547,6242.5,8175.2,6.627e+05,8.8401,4.3163e+06
  8.00,5.6939e+06,12482,6721.1,9021.2,6.6353e+05,10.846,4.3211e+06
  9.00,5.6862e+06,13480,7243.6,9912.1,6.6444e+05,13.053,4.3259e+06
 10.00,5.6784e+06,14549,7810.5,10855,6.6545e+05,15.475,4.3306e+06
 11.00,5.6704e+06,15697,8423.6,11856,6.6656e+05,18.124,4.3353e+06
 12.00,5.6621e+06,16931,9085.3,12921,6.6776e+05,21.013,4.3398e+06
 13.00,5.6536e+06,18258,9798.9,14057,6.6908e+05,24.159,4.3443e+06
 14.00,5.6448e+06,19684,10568,15271,6.7051e+05,27.579,4.3487e+06
 15.00,5.6358e+06,21219,11395,16570,6.7207e+05,31.292,4.353e+06
 16.00,5.6264e+06,22869,12287,17960,6.7377e+05,35.319,4.3572e+06
 17.00,5.6167e+06,24644,13246,19450,6.756e+05,39.681,4.3613e+06
 18.00,5.6067e+06,26551,14277,21047,6.7759e+05,44.404,4.3653e+06
 19.00,5.5963e+06,28600,15387,22761,6.7975e+05,49.512,4.3691e+06
 20.00,5.5855e+06,30802,16580,24600,6.8208e+05,55.035,4.3728e+06
 21.00,5.5742e+06,33166,17862,26574,6.846e+05,61.003,4.3764e+06
 22.00,5.5625e+06,35703,19240,28694,6.8733e+05,67.448,4.3798e+06
 23.00,5.5503e+06,38426,20720,30970,6.9027e+05,74.405,4.3831e+06
 24.00,5.5376e+06,41347,22309,33414,6.9345e+05,81.913,4.3861e+06
 25.00,5.5243e+06,44478,24014,36038,6.9688e+05,90.012,4.389e+06
 26.00,5.5104e+06,47833,25844,38855,7.0058e+05,98.746,4.3917e+06
 27.00,5.4958e+06,51427,27807,41880,7.0458e+05,108.16,4.3941e+06
 28.00,5.4806e+06,55273,29910,45126,7.0888e+05,118.31,4.3964e+06
 29.00,5.4646e+06,59389,32164,48609,7.1352e+05,129.24,4.3983e+06
