time,susceptible,exposed,infectious,quarantined,recovered,dead,vaccinated
  0.00,2.2099e+06,4934,4934,2467,9.8866e+05,0,7.4921e+06
  1.00,2.2078e+06,5763.4,4653.6,3427.7,9.8891e+05,0.691,7.4929e+06
  2.00,2.2057e+06,6391.7,4552.5,4251.4,9.8926e+05,1.589,7.4937e+06
  3.00,2.2037e+06,6901.8,4564.5,4986.9,9.8968e+05,2.6682,7.4946e+06
  4.00,2.2016e+06,7344.6,4649.1,5665.3,9.9017e+05,3.9118,7.4954e+06
  5.00,2.1995e+06,7751.6,4781.7,6307,9.9073e+05,5.3091,7.4962e+06
  6.00,2.1975e+06,8142.4,4947,6925.2,9.9135e+05,6.8533,7.497e+06
  7.00,2.1953e+06,8529.2,5136.1,7529.2,9.9203e+05,8.5398,7.4977e+06
  8.00,2.1932e+06,8919.7,5343.5,8125.6,9.9277e+05,10.366,7.4984e+06
  9.00,2.191e+06,9319,5566.1,8719.2,9.9357e+05,12.332,7.499e+06
 10.00,2.1888e+06,9730.5,5801.9,9313.8,9.9443e+05,14.435,7.4996e+06
 11.00,2.1866e+06,10156,6050.1,9912.4,9.9535e+05,16.678,7.5001e+06
 12.00,2.1843e+06,10598,6310.3,10518,9.9633e+05,19.062,7.5005e+06
 13.00,2.182e+06,11058,6582.4,11132,9.9736e+05,21.587,7.5009e+06
 14.00,2.1797e+06,11536,6866.5,11758,9.9847e+05,24.258,7.5012e+06
 15.00,2.1773e+06,12033,7162.9,12397,9.9963e+05,27.076,7.5015e+06
 16.00,2.1749e+06,12552,7471.9,13051,1.0009e+06,30.044,7.5017e+06
 17.00,2.1725e+06,13091,7794.1,13722,1.0022e+06,33.167,7.5018e+06
 18.00,2.17e+06,13653,8129.7,14412,1.0035e+06,36.449,7.5018e+06
 19.00,2.1674e+06,14238,8479.5,15121,1.0049e+06,39.894,7.5017e+06
 20.00,2.1648e+06,14847,8843.8,15853,1.0064e+06,43.508,7.5016e+06
 21.00,2.1622e+06,15481,9223.3,16608,1.008e+06,47.294,7.5013e+06
 22.00,2.1595e+06,16141,9618.4,17389,1.0097e+06,51.26,7.501e+06
