time,susceptible,exposed,infectious,quarantined,recovered,dead,vaccinated
  0.00,5.7503e+06,4934,4934,2467,6.591e+05,0,4.2812e+06
  1.00,5.7434e+06,5980.5,4672.3,3429.4,6.5937e+05,0.69111,4.2865e+06
  2.00,5.7366e+06,6793.7,4617.2,4263,6.5973e+05,1.5904,4.2919e+06
  3.00,5.7298e+06,7476.8,4693,5021.4,6.6017e+05,2.6747,4.2972e+06
  4.00,5.7229e+06,8092.4,4854.2,5738.3,6.6068e+05,3.9306,4.3025e+06
  5.00,5.716e+06,8679,5073.7,6435.2,6.6126e+05,5.351,4.3078e+06
  6.00,5.709e+06,9260.5,5335.5,7126.5,6.6191e+05,6.9333,4.3131e+06
  7.00,5.7019e+06,9852,5630.3,7821.9,6.6263e+05,8.6771,4.3184e+06
  8.00,5.6947e+06,10463,5953,8528.7,6.6341e+05,10.584,4.3237e+06
  9.00,5.6874e+06,11101,6300.8,9252.3,6.6427e+05,12.658,4.3289e+06
 10.00,5.68e+06,11769,6672.7,9997.3,6.6521e+05,14.904,4.3341e+06
 11.00,5.6724e+06,12473,7068.2,10768,6.6622e+05,17.326,4.3392e+06
 12.00,5.6647e+06,13214,7487.8,11567,6.673e+05,19.931,4.3444e+06
 13.00,5.6568e+06,13996,7932.1,12398,6.6847e+05,22.726,4.3495e+06
 14.00,5.6488e+06,14822,8402.3,13265,6.6972e+05,25.719,4.3546e+06
 15.00,5.6406e+06,15692,8899.3,14170,6.7106e+05,28.919,4.3596e+06
 16.00,5.6322e+06,16611,9424.5,15118,6.7249e+05,32.335,4.3646e+06
 17.00,5.6237e+06,17581,9979.3,16111,6.7402e+05,35.978,4.3696e+06
 18.00,5.6149e+06,18604,10565,17152,6.7565e+05,39.858,4.3746e+06
 19.00,5.606e+06,19683,11184,18245,6.7739e+05,43.986,4.3795e+06
 20.00,5.5968e+06,20821,11836,19393,6.7924e+05,48.376,4.3843e+06
 21.00,5.5874e+06,22020,12525,20600,6.812e+05,53.041,4.3891e+06
 22.00,5.5777e+06,23284,13251,21869,6.8329e+05,57.994,4.3939e+06
 23.00,5.5678e+06,24615,14017,23205,6.8551e+05,63.251,4.3986e+06
 24.00,5.5576e+06,26017,14824,24610,6.8786e+05,68.828,4.4033e+06
 25.00,5.5472e+06,27493,15675,26090,6.9036e+05,74.742,4.4079e+06
 26.00,5.5364e+06,29047,16571,27648,6.9301e+05,81.01,4.4125e+06
 27.00,5.5253e+06,30681,17515,29288,6.9582e+05,87.651,4.417e+06
 28.00,5.5139e+06,32400,18509,31015,6.988e+05,94.684,4.4215e+06
 29.00,5.5022e+06,34206,19555,32833,7.0195e+05,102.13,4.4259e+06
 30.00,5.4901e+06,36104,20655,34747,7.0529e+05,110.01,4.4302e+06
 31.00,5.4776e+06,38097,21812,36761,7.0882e+05,118.35,4.4344e+06
 32.00,5.4647e+06,40190,23028,38882,7.1256e+05,127.18,4.4386e+06
 33.00,5.4514e+06,42385,24305,41113,7.1652e+05,136.51,4.4427e+06
 34.00,5.4377e+06,44688,25647,43459,7.207e+05,146.37,4.4468e+06
 35.00,5.4235e+06,47101,27056,45928,7.2513e+05,156.8,4.4507e+06
 36.00,5.4088e+06,49629,28534,48523,7.298e+05,167.82,4.4545e+06
 37.00,5.3937e+06,52276,30084,51250,7.3474e+05,179.45,4.4583e+06
 38.00,5.378e+06,55045,31708,54116,7.3996e+05,191.74,4.462e+06
 39.00,5.3618e+06,57941,33410,57126,7.4547e+05,204.72,4.4655e+06
 40.00,5.345e+06,60966,35192,60286,7.5129e+05,218.41,4.469e+06
 41.00,5.3276e+06,64126,37056,63602,7.5743e+05,232.86,4.4723e+06
 42.00,5.3096e+06,67422,39005,67080,7.6391e+05,248.11,4.4756e+06
 43.00,5.291e+06,70859,41042,70727,7.7075e+05,264.18,4.4787e+06
 44.00,5.2718e+06,74439,43168,74549,7.7795e+05,281.13,4.4817e+06
 45.00,5.2518e+06,78166,45388,78551,7.8555e+05,298.98,4.4845e+06
 46.00,5.2312e+06,82042,47701,82741,7.9355e+05,317.8,4.4872e+06
 47.00,5.2098e+06,86069,50112,87124,8.0198e+05,337.61,4.4898e+06
 48.00,5.1877e+06,90249,52621,91706,8.1086e+05,358.47,4.4923e+06
 49.00,5.1648e+06,94582,55231,96494,8.202e+05,380.42,4.4945e+06
 50.00,5.1411e+06,99071,57942,1.0149e+05,8.3003e+05,403.52,4.4967e+06
 51.00,5.1166e+06,1.0372e+05,60757,1.0671e+05,8.4037e+05,427.8,4.4986e+06
 52.00,5.0912e+06,1.0852e+05,63675,1.1215e+05,8.5124e+05,453.33,4.5004e+06
 53.00,5.065e+06,1.1347e+05,66699,1.1781e+05,8.6266e+05,480.16,4.502e+06
 54.00,5.0379e+06,1.1858e+05,69827,1.2371e+05,8.7466e+05,508.33,4.5034e+06
 55.00,5.0098e+06,1.2383e+05,73060,1.2984e+05,8.8726e+05,537.91,4.5047e+06
 56.00,4.9809e+06,1.2923e+05,76398,1.3621e+05,9.0048e+05,568.94,4.5057e+06
 57.00,4.9511e+06,1.3478e+05,79839,1.4283e+05,9.1434e+05,601.49,4.5066e+06
 58.00,4.9202e+06,1.4046e+05,83382,1.4969e+05,9.2888e+05,635.61,4.5072e+06
 59.00,4.8885e+06,1.4628e+05,87024,1.568e+05,9.4411e+05,671.37,4.5076e+06
 60.00,4.8557e+06,1.5221e+05,90763,1.6416e+05,9.6006e+05,708.81,4.5078e+06
 61.00,4.822e+06,1.5827e+05,94596,1.7176e+05,9.7676e+05,747.99,4.5078e+06
 62.00,4.7873e+06,1.6443e+05,98519,1.7962e+05,9.9423e+05,788.98,4.5075e+06
 63.00,4.7516e+06,1.7068e+05,1.0253e+05,1.8772e+05,1.0125e+06,831.83,4.507e+06
 64.00,4.7149e+06,1.7702e+05,1.0661e+05,1.9606e+05,1.0316e+06,876.6,4.5063e+06
 65.00,4.6772e+06,1.8342e+05,1.1077e+05,2.0465e+05,1.0515e+06,923.35,4.5053e+06
 66.00,4.6386e+06,1.8989e+05,1.15e+05,2.1347e+05,1.0723e+06,972.12,4.5041e+06
 67.00,4.599e+06,1.9639e+05,1.1929e+05,2.2251e+05,1.094e+06,1023,4.5026e+06
 68.00,4.5584e+06,2.0292e+05,1.2362e+05,2.3178e+05,1.1165e+06,1076,4.5009e+06
 69.00,4.5169e+06,2.0945e+05,1.28e+05,2.4125e+05,1.1401e+06,1131.2,4.4989e+06
 70.00,4.4745e+06,2.1597e+05,1.324e+05,2.5093e+05,1.1645e+06,1188.6,4.4966e+06
 71.00,4.4312e+06,2.2245e+05,1.3683e+05,2.6079e+05,1.19e+06,1248.3,4.4941e+06
 72.00,4.3871e+06,2.2889e+05,1.4127e+05,2.7082e+05,1.2164e+06,1310.3,4.4913e+06
 73.00,4.3421e+06,2.3524e+05,1.457e+05,2.8101e+05,1.2439e+06,1374.7,4.4883e+06
 74.00,4.2963e+06,2.415e+05,1.5011e+05,2.9134e+05,1.2723e+06,1441.4,4.485e+06
 75.00,4.2498e+06,2.4763e+05,1.5449e+05,3.0178e+05,1.3018e+06,1510.6,4.4814e+06
 76.00,4.2026e+06,2.5362e+05,1.5883e+05,3.1233e+05,1.3324e+06,1582.3,4.4776e+06
 77.00,4.1548e+06,2.5945e+05,1.6311e+05,3.2295e+05,1.364e+06,1656.4,4.4735e+06
 78.00,4.1064e+06,2.6508e+05,1.6731e+05,3.3363e+05,1.3966e+06,1733,4.4692e+06
 79.00,4.0574e+06,2.7049e+05,1.7142e+05,3.4433e+05,1.4304e+06,1812.1,4.4646e+06
 80.00,4.0079e+06,2.7567e+05,1.7543e+05,3.5503e+05,1.4652e+06,1893.7,4.4598e+06
 81.00,3.9581e+06,2.8059e+05,1.7932e+05,3.657e+05,1.501e+06,1977.8,4.4547e+06
 82.00,3.9078e+06,2.8522e+05,1.8307e+05,3.7631e+05,1.5379e+06,2064.3,4.4494e+06
 83.00,3.8573e+06,2.8955e+05,1.8666e+05,3.8684e+05,1.5759e+06,2153.4,4.4439e+06
 84.00,3.8066e+06,2.9356e+05,1.9009e+05,3.9724e+05,1.6149e+06,2244.9,4.4382e+06
 85.00,3.7557e+06,2.9722e+05,1.9334e+05,4.0749e+05,1.6549e+06,2338.7,4.4322e+06
 86.00,3.7048e+06,3.0053e+05,1.964e+05,4.1755e+05,1.696e+06,2435,4.4261e+06
 87.00,3.6538e+06,3.0346e+05,1.9924e+05,4.274e+05,1.738e+06,2533.6,4.4198e+06
 88.00,3.6029e+06,3.0601e+05,2.0186e+05,4.3699e+05,1.781e+06,2634.4,4.4133e+06
 89.00,3.5521e+06,3.0815e+05,2.0425e+05,4.463e+05,1.8249e+06,2737.5,4.4067e+06
 90.00,3.5016e+06,3.0989e+05,2.064e+05,4.5529e+05,1.8698e+06,2842.7,4.3999e+06
 91.00,3.4513e+06,3.1121e+05,2.0829e+05,4.6393e+05,1.9155e+06,2949.9,4.3929e+06
 92.00,3.4013e+06,3.1212e+05,2.0992e+05,4.7219e+05,1.9621e+06,3059.2,4.3859e+06
 93.00,3.3518e+06,3.126e+05,2.1128e+05,4.8004e+05,2.0095e+06,3170.3,4.3787e+06
 94.00,3.3027e+06,3.1266e+05,2.1237e+05,4.8745e+05,2.0576e+06,3283.1,4.3715e+06
 95.00,3.2541e+06,3.123e+05,2.1319e+05,4.9439e+05,2.1064e+06,3397.7,4.3642e+06
 96.00,3.2062e+06,3.1152e+05,2.1372e+05,5.0084e+05,2.1559e+06,3513.8,4.3568e+06
 97.00,3.1588e+06,3.1034e+05,2.1397e+05,5.0678e+05,2.2061e+06,3631.4,4.3493e+06
 98.00,3.1122e+06,3.0875e+05,2.1394e+05,5.1217e+05,2.2567e+06,3750.3,4.3419e+06
 99.00,3.0663e+06,3.0678e+05,2.1363e+05,5.1701e+05,2.3079e+06,3870.4,4.3344e+06
100.00,3.0212e+06,3.0442e+05,2.1304e+05,5.2128e+05,2.3596e+06,3991.5,4.3269e+06
101.00,2.9769e+06,3.017e+05,2.1218e+05,5.2496e+05,2.4116e+06,4113.6,4.3194e+06
102.00,2.9334e+06,2.9864e+05,2.1106e+05,5.2804e+05,2.464e+06,4236.4,4.3119e+06
103.00,2.8908e+06,2.9524e+05,2.0968e+05,5.3052e+05,2.5166e+06,4359.9,4.3045e+06
104.00,2.8492e+06,2.9153e+05,2.0805e+05,5.3238e+05,2.5695e+06,4484,4.2971e+06
105.00,2.8085e+06,2.8752e+05,2.0618e+05,5.3362e+05,2.6225e+06,4608.3,4.2898e+06
106.00,2.7687e+06,2.8324e+05,2.0407e+05,5.3425e+05,2.6756e+06,4732.9,4.2826e+06
107.00,2.7299e+06,2.787e+05,2.0175e+05,5.3426e+05,2.7288e+06,4857.6,4.2754e+06
108.00,2.6921e+06,2.7393e+05,1.9922e+05,5.3367e+05,2.7819e+06,4982.2,4.2683e+06
109.00,2.6553e+06,2.6895e+05,1.965e+05,5.3247e+05,2.8349e+06,5106.6,4.2614e+06
110.00,2.6196e+06,2.6378e+05,1.9359e+05,5.3068e+05,2.8877e+06,5230.6,4.2545e+06
111.00,2.5848e+06,2.5844e+05,1.9052e+05,5.2831e+05,2.9404e+06,5354.2,4.2478e+06
112.00,2.551e+06,2.5295e+05,1.8729e+05,5.2538e+05,2.9928e+06,5477.1,4.2412e+06
113.00,2.5182e+06,2.4734e+05,1.8392e+05,5.219e+05,3.0449e+06,5599.3,4.2347e+06
114.00,2.4864e+06,2.4161e+05,1.8042e+05,5.1788e+05,3.0965e+06,5720.7,4.2284e+06
115.00,2.4556e+06,2.358e+05,1.7681e+05,5.1336e+05,3.1478e+06,5841,4.2223e+06
116.00,2.4258e+06,2.2992e+05,1.731e+05,5.0836e+05,3.1986e+06,5960.2,4.2162e+06
117.00,2.3969e+06,2.2398e+05,1.693e+05,5.0288e+05,3.2488e+06,6078.2,4.2104e+06
118.00,2.369e+06,2.1802e+05,1.6543e+05,4.9697e+05,3.2985e+06,6194.8,4.2047e+06
119.00,2.3421e+06,2.1203e+05,1.615e+05,4.9064e+05,3.3476e+06,6310.1,4.1992e+06
120.00,2.316e+06,2.0605e+05,1.5753e+05,4.8393e+05,3.396e+06,6423.8,4.1938e+06
