time,susceptible,exposed,infectious,quarantined,recovered,dead,vaccinated
  0.00,4.68e+06,4934,4934,2467,6.591e+05,0,5.3515e+06
  1.00,4.6746e+06,5721.8,4650,3427.4,6.5937e+05,0.69099,5.3556e+06
  2.00,4.6692e+06,6314,4540,4249.2,6.5973e+05,1.5887,5.3598e+06
  3.00,4.6639e+06,6789.9,4539.6,4980.2,6.6016e+05,2.6669,5.364e+06
  4.00,4.6585e+06,7198.2,4609.3,5651.2,6.6067e+05,3.9082,5.3682e+06
  5.00,4.6531e+06,7569.2,4724.6,6282.1,6.6124e+05,5.3011,5.3724e+06
  6.00,4.6477e+06,7921.5,4870.9,6886,6.6187e+05,6.8378,5.3765e+06
  7.00,4.6423e+06,8266.9,5038.9,7472.1,6.6256e+05,8.5131,5.3806e+06
  8.00,4.6368e+06,8612.8,5223.2,8046.6,6.633e+05,10.324,5.3847e+06
  9.00,4.6313e+06,8963.6,5420.5,8614.4,6.6411e+05,12.268,5.3888e+06
 10.00,4.6257e+06,9322.5,5628.9,9179,6.6497e+05,14.344,5.3929e+06
 11.00,4.62e+06,9691.5,5847.2,9743.4,6.6588e+05,16.551,5.397e+06
 12.00,4.6143e+06,10072,6075,10310,6.6686e+05,18.891,5.401e+06
 13.00,4.6085e+06,10465,6311.9,10881,6.6789e+05,21.363,5.4051e+06
 14.00,4.6027e+06,10871,6557.9,11458,6.6897e+05,23.969,5.4091e+06
 15.00,4.5967e+06,11291,6813,12043,6.7012e+05,26.711,5.413e+06
 16.00,4.5908e+06,11726,7077.5,12638,6.7132e+05,29.59,5.417e+06
 17.00,4.5847e+06,12176,7351.6,13243,6.7258e+05,32.609,5.4209e+06
 18.00,4.5786e+06,12641,7635.3,13861,6.7391e+05,35.771,5.4248e+06
 19.00,4.5724e+06,13122,7929.2,14492,6.7529e+05,39.079,5.4287e+06
 20.00,4.5661e+06,13620,8233.3,15138,6.7674e+05,42.535,5.4326e+06
 21.00,4.5597e+06,14135,8548,15800,6.7826e+05,46.144,5.4364e+06
 22.00,4.5532e+06,14667,8873.6,16480,6.7984e+05,49.91,5.4402e+06
 23.00,4.5467e+06,15217,9210.5,17178,6.8149e+05,53.836,5.444e+06
 24.00,4.5401e+06,15785,9558.8,17895,6.8321e+05,57.928,5.4478e+06
 25.00,4.5333e+06,16373,9919,18633,6.85e+05,62.189,5.4515e+06
 26.00,4.5265e+06,16979,10291,19392,6.8687e+05,66.625,5.4552e+06
 27.00,4.5196e+06,17606,10676,20174,6.8881e+05,71.24,5.4589e+06
 28.00,4.5125e+06,18253,11074,20980,6.9084e+05,76.041,5.4625e+06
 29.00,4.5054e+06,18921,11485,21810,6.9294e+05,81.033,5.4661e+06
 30.00,4.4981e+06,19610,11909,22666,6.9513e+05,86.221,5.4697e+06
 31.00,4.4908e+06,20321,12347,23549,6.974e+05,91.613,5.4732e+06
 32.00,4.4833e+06,21054,12799,24459,6.9977e+05,97.213,5.4767e+06
 33.00,4.4757e+06,21811,13266,25397,7.0222e+05,103.03,5.4802e+06
 34.00,4.4679e+06,22590,13747,26365,7.0477e+05,109.07,5.4836e+06
 35.00,4.4601e+06,23394,14244,27364,7.0742e+05,115.33,5.487e+06
 36.00,4.4521e+06,24222,14756,28394,7.1017e+05,121.84,5.4903e+06
 37.00,4.4439e+06,25074,15284,29456,7.1303e+05,128.59,5.4936e+06
 38.00,4.4357e+06,25952,15829,30552,7.1599e+05,135.59,5.4969e+06
 39.00,4.4272e+06,26855,16389,31682,7.1906e+05,142.85,5.5001e+06
 40.00,4.4187e+06,27785,16967,32847,7.2225e+05,150.38,5.5033e+06
 41.00,4.4099e+06,28741,17562,34048,7.2555e+05,158.18,5.5064e+06
 42.00,4.4011e+06,29724,18174,35286,7.2898e+05,166.27,5.5095e+06
 43.00,4.392e+06,30735,18804,36562,7.3253e+05,174.65,5.5125e+06
 44.00,4.3828e+06,31773,19452,37876,7.3621e+05,183.33,5.5155e+06
 45.00,4.3735e+06,32840,20119,39231,7.4002e+05,192.33,5.5184e+06
 46.00,4.3639e+06,33935,20804,40625,7.4397e+05,201.64,5.5213e+06
 47.00,4.3542e+06,35059,21508,42061,7.4806e+05,211.29,5.5242e+06
 48.00,4.3443e+06,36211,22231,43540,7.5229e+05,221.28,5.5269e+06
 49.00,4.3342e+06,37393,22973,45061,7.5668e+05,231.61,5.5296e+06
 50.00,4.3239e+06,38605,23735,46626,7.6121e+05,242.31,5.5323e+06
 51.00,4.3135e+06,39846,24517,48235,7.6591e+05,253.37,5.5349e+06
 52.00,4.3028e+06,41117,25319,49890,7.7077e+05,264.82,5.5374e+06
 53.00,4.2919e+06,42418,26141,51591,7.7579e+05,276.66,5.5399e+06
 54.00,4.2809e+06,43749,26983,53339,7.8099e+05,288.9,5.5423e+06
 55.00,4.2696e+06,45110,27846,55134,7.8636e+05,301.55,5.5447e+06
 56.00,4.2581e+06,46500,28729,56977,7.9192e+05,314.63,5.547e+06
 57.00,4.2464e+06,47920,29632,58868,7.9766e+05,328.15,5.5492e+06
 58.00,4.2345e+06,49370,30556,60808,8.0359e+05,342.11,5.5513e+06
 59.00,4.2223e+06,50849,31500,62798,8.0972e+05,356.53,5.5534e+06
 60.00,4.2099e+06,52358,32465,64838,8.1604e+05,371.42,5.5554e+06
 61.00,4.1973e+06,53894,33450,66927,8.2257e+05,386.79,5.5574e+06
 62.00,4.1845e+06,55459,34455,69068,8.2932e+05,402.65,5.5592e+06
 63.00,4.1714e+06,57052,35480,71259,8.3628e+05,419.03,5.561e+06
 64.00,4.158e+06,58672,36525,73501,8.4345e+05,435.91,5.5627e+06
 65.00,4.1445e+06,60318,37589,75794,8.5086e+05,453.33,5.5643e+06
 66.00,4.1307e+06,61990,38672,78137,8.5849e+05,471.29,5.5658e+06
 67.00,4.1166e+06,63687,39774,80532,8.6637e+05,489.8,5.5673e+06
 68.00,4.1023e+06,65408,40894,82977,8.7448e+05,508.87,5.5687e+06
 69.00,4.0877e+06,67151,42032,85472,8.8284e+05,528.52,5.5699e+06
 70.00,4.0729e+06,68916,43187,88018,8.9144e+05,548.76,5.5711e+06
 71.00,4.0578e+06,70702,44359,90612,9.0031e+05,569.6,5.5722e+06
 72.00,4.0425e+06,72507,45546,93256,9.0943e+05,591.05,5.5733e+06
 73.00,4.0269e+06,74330,46749,95947,9.1882e+05,613.13,5.5742e+06
 74.00,4.0111e+06,76169,47967,98686,9.2848e+05,635.83,5.575e+06
 75.00,3.995e+06,78023,49198,1.0147e+05,9.3842e+05,659.18,5.5758e+06
 76.00,3.9786e+06,79890,50441,1.043e+05,9.4863e+05,683.19,5.5764e+06
 77.00,3.962e+06,81768,51696,1.0717e+05,9.5913e+05,707.86,5.577e+06
 78.00,3.9452e+06,83655,52962,1.1009e+05,9.6992e+05,733.21,5.5774e+06
 79.00,3.928e+06,85549,54237,1.1305e+05,9.81e+05,759.24,5.5778e+06
 80.00,3.9107e+06,87449,55520,1.1604e+05,9.9237e+05,785.96,5.5781e+06
 81.00,3.893e+06,89352,56811,1.1908e+05,1.004e+06,813.39,5.5782e+06
 82.00,3.8752e+06,91255,58107,1.2215e+05,1.016e+06,841.54,5.5783e+06
 83.00,3.8571e+06,93156,59407,1.2525e+05,1.0283e+06,870.4,5.5783e+06
 84.00,3.8387e+06,95054,60710,1.2838e+05,1.0409e+06,899.99,5.5781e+06
 85.00,3.8201e+06,96944,62014,1.3154e+05,1.0538e+06,930.31,5.5779e+06
 86.00,3.8013e+06,98826,63318,1.3473e+05,1.067e+06,961.38,5.5776e+06
 87.00,3.7822e+06,1.007e+05,64620,1.3794e+05,1.0806e+06,993.19,5.5771e+06
 88.00,3.763e+06,1.0255e+05,65918,1.4117e+05,1.0944e+06,1025.8,5.5766e+06
 89.00,3.7435e+06,1.0439e+05,67211,1.4442e+05,1.1086e+06,1059.1,5.576e+06
 90.00,3.7238e+06,1.062e+05,68497,1.4768e+05,1.1231e+06,1093.1,5.5752e+06
 91.00,3.7039e+06,1.08e+05,69773,1.5096e+05,1.138e+06,1128,5.5744e+06
 92.00,3.6838e+06,1.0976e+05,71039,1.5424e+05,1.1531e+06,1163.6,5.5735e+06
 93.00,3.6635e+06,1.115e+05,72292,1.5752e+05,1.1686e+06,1200,5.5724e+06
 94.00,3.643e+06,1.1321e+05,73530,1.608e+05,1.1844e+06,1237.1,5.5713e+06
 95.00,3.6223e+06,1.1488e+05,74751,1.6408e+05,1.2006e+06,1275,5.5701e+06
 96.00,3.6015e+06,1.1651e+05,75954,1.6735e+05,1.217e+06,1313.7,5.5688e+06
 97.00,3.5805e+06,1.181e+05,77136,1.7061e+05,1.2338e+06,1353.1,5.5674e+06
 98.00,3.5594e+06,1.1965e+05,78295,1.7385e+05,1.251e+06,1393.3,5.5659e+06
 99.00,3.5382e+06,1.2115e+05,79429,1.7708e+05,1.2684e+06,1434.2,5.5643e+06
100.00,3.5168e+06,1.226e+05,80536,1.8027e+05,1.2861e+06,1475.9,5.5626e+06
101.00,3.4953e+06,1.2399e+05,81615,1.8343e+05,1.3042e+06,1518.4,5.5608e+06
102.00,3.4736e+06,1.2534e+05,82662,1.8656e+05,1.3226e+06,1561.5,5.5589e+06
103.00,3.4519e+06,1.2662e+05,83678,1.8966e+05,1.3413e+06,1605.4,5.557e+06
104.00,3.4301e+06,1.2784e+05,84658,1.927e+05,1.3603e+06,1650,5.555e+06
105.00,3.4083e+06,1.29e+05,85602,1.957e+05,1.3796e+06,1695.3,5.5529e+06
106.00,3.3863e+06,1.301e+05,86508,1.9864e+05,1.3992e+06,1741.4,5.5507e+06
107.00,3.3644e+06,1.3113e+05,87374,2.0153e+05,1.4191e+06,1788,5.5484e+06
108.00,3.3423e+06,1.3209e+05,88197,2.0435e+05,1.4392e+06,1835.4,5.5461e+06
109.00,3.3203e+06,1.3297e+05,88978,2.0711e+05,1.4597e+06,1883.4,5.5437e+06
110.00,3.2982e+06,1.3379e+05,89714,2.0979e+05,1.4804e+06,1932,5.5412e+06
111.00,3.2762e+06,1.3453e+05,90403,2.124e+05,1.5014e+06,1981.3,5.5387e+06
112.00,3.2541e+06,1.3519e+05,91044,2.1492e+05,1.5226e+06,2031.2,5.5361e+06
113.00,3.2321e+06,1.3577e+05,91637,2.1736e+05,1.5441e+06,2081.6,5.5335e+06
114.00,3.2101e+06,1.3628e+05,92179,2.1971e+05,1.5658e+06,2132.6,5.5308e+06
115.00,3.1882e+06,1.3671e+05,92670,2.2197e+05,1.5877e+06,2184.1,5.528e+06
116.00,3.1663e+06,1.3705e+05,93109,2.2413e+05,1.6099e+06,2236.2,5.5252e+06
117.00,3.1445e+06,1.3732e+05,93495,2.2618e+05,1.6323e+06,2288.7,5.5224e+06
118.00,3.1228e+06,1.375e+05,93827,2.2813e+05,1.6549e+06,2341.7,5.5195e+06
119.00,3.1011e+06,1.376e+05,94105,2.2997e+05,1.6776e+06,2395.2,5.5165e+06
120.00,3.0796e+06,1.3762e+05,94328,2.317e+05,1.7005e+06,2449,5.5136e+06
